characterId,characterName,Type,skillOrder,skillType,skillName,skillCost,skillEffect,skillRaw
C001,博丽灵梦,人类,1,通常,八方鬼缚阵,④,【封印】目标玩家；启动状态下，再给予3咒术伤害,【通常】八方鬼缚阵（④）：【封印】目标玩家；启动状态下，再给予3咒术伤害
C001,博丽灵梦,人类,2,响应,博丽大结界,任意玩家回合开始时，弃1张防御为3或更高牌,给予此玩家【结界】,【响应】博丽大结界（任意玩家回合开始时，弃1张防御为3或更高牌）：给予此玩家【结界】
C001,博丽灵梦,人类,3,启动,梦想天生,⑥，II,启动时，解决当前异变,【启动】梦想天生（⑥，II）启动时，解决当前异变
C001,博丽灵梦,人类,4,终结,不可思议的空飞巫女,⑦，III，每回合一次,你获得【结界】，将你牌库顶3张牌如同防御牌般放在阵地区,【终结】不可思议的空飞巫女（⑦，III，每回合一次）你获得【结界】，将你牌库顶3张牌如同防御牌般放在阵地区
C002,东风谷早苗,人类,1,通常,摩西的奇迹,③,回复目标角色2点生命，清除他的【禁锢】或【封印】效果,【通常】摩西的奇迹（③）回复目标角色2点生命，清除他的【禁锢】或【封印】效果
C002,东风谷早苗,人类,2,通常,新星辉煌之夜,④,抓1张牌；除你以外所有玩家回复2生命,【通常】新星辉煌之夜（④）抓1张牌；除你以外所有玩家回复2生命
C002,东风谷早苗,人类,3,通常,九字刺,,（⑥，II）解除目标角色启动状态并重置其角色卡，然后所有友方玩家获得【结界】,【通常】九字刺：（⑥，II）解除目标角色启动状态并重置其角色卡，然后所有友方玩家获得【结界】
C002,东风谷早苗,人类,4,终结,五谷丰登之祝福,④，II,本回合你的所有回复效果变成等量的直接伤害效果,【终结】五谷丰登之祝福（④，II）本回合你的所有回复效果变成等量的直接伤害效果
C003,蕾米莉亚,人外,1,通常,红色不夜城,④,给予目标对手2咒术伤害，然后你回复2生命；启动状态下，伤害和回复效果+2,【通常】红色不夜城（④）：给予目标对手2咒术伤害，然后你回复2生命；启动状态下，伤害和回复效果+2
C003,蕾米莉亚,人外,2,响应,冈格尼尔,每回合1次，你或操控芙兰朵露的队友给予对手伤害时，你弃1张召唤费用为3或更高的牌,本次伤害带有【穿透】,【响应】冈格尼尔（每回合1次，你或操控芙兰朵露的队友给予对手伤害时，你弃1张召唤费用为3或更高的牌）：本次伤害带有【穿透】
C003,蕾米莉亚,人外,3,启动,绯色宿命,,（⑥，III）启动时，给予目标对手6体术伤害,【启动】绯色宿命：（⑥，III）启动时，给予目标对手6体术伤害
C003,蕾米莉亚,人外,4,终结,红色幻想乡,⑥III,抓2张牌，扣除对手1灵脉；启动状态下额外抓1张牌,【终结】红色幻想乡（⑥III）抓2张牌，扣除对手1灵脉；启动状态下额外抓1张牌
